temp [C],AVG LTNI,STD LTNI,,AVG HTNI,STD HTNI
25,1,0,,1,0
30,0.968145615,0.005483296,,0.99784919,0.004740701
32,0.950394828,0.005895169,,0.996273959,0.002769819
35,0.921391013,0.003001315,,0.992616935,0.006195336
38,0.895758953,0.005848897,,0.983354857,0.003500141
40,0.876714307,0.008374599,,0.976970089,0.008846787
42,0.840938645,0.010367346,,0.970423655,0.009374851
45,0.779293196,0.016165333,,0.963104628,0.011483479
47,0.726597174,0.030614051,,0.95958767,0.010423533
50,0.635178564,0.01016203,,0.948972151,0.008970033
52,0.621625579,0.014928826,,0.942086242,0.014779367
54,0.61341579,0.013784055,,0.938367601,0.014082882
55,0.607673734,0.011484432,,0.933372335,0.016375371
58,0.600021812,0.010295341,,0.925745398,0.01439192
60,0.586885943,0.012754809,,0.920055118,0.015132298
62,0.583403386,0.00494704,,0.916059382,0.01390941
65,0.580790689,0.003523417,,0.906239066,0.012674245
68,0.579969283,0.002458078,,0.890596163,0.016276348
70,0.583070989,0.003706845,,0.8867066,0.013247663
74,0.588859621,0.002701683,,0.878488438,0.015489408
75,0.584280762,0.006751202,,0.865960452,0.01447155
77,0.587056887,0.006451844,,0.85539563,0.016074277
80,0.585981641,0.009473666,,0.845537705,0.014831798
83,0.596724261,0.008237381,,0.828282378,0.012323738
85,0.593412861,0.005742379,,0.818968,0.013644056
88,0.592466505,0.003338323,,0.80268067,0.013723665
90,0.592911834,0.00355323,,0.789572117,0.01935026
93,0.594111844,0.003015336,,0.773424351,0.016238449
95,0.594168823,0.006725983,,0.7553827,0.018467898
97,0.594362483,0.008371856,,0.743380129,0.017112139
100,0.592656092,0.008631263,,0.718641486,0.020007261
105,0.598245155,0.003985369,,0.66091743,0.027825032
107,0.597535445,0.006799222,,0.622362059,0.045943625
110,0.597995156,0.006699437,,0.567088988,0.054013331
113,0.597815038,0.007905976,,0.539520413,0.055708775
115,0.598506551,0.008571528,,0.510499471,0.056463065
118,0.605854381,0.004335009,,0.497615708,0.047888324
120,0.606892501,0.00669314,,0.487535172,0.036595262
122,0.602901314,0.004871191,,0.475550792,0.023325731
125,0.604298154,0.004430359,,0.46824319,0.017326672
127,0.608495474,0.007853543,,0.468414979,0.015358664
130,0.611145373,0.005569317,,0.467101076,0.017082533
132,0.611275272,0.005187434,,0.466618499,0.017020234
135,0.612950153,0.004694965,,0.467503897,0.019089218
137,0.615224976,0.002615122,,0.464632567,0.019733584
140,0.617638158,0.003411718,,0.466140095,0.016459618
142,0.616629715,0.004822305,,0.465910223,0.015874832
145,0.617051091,0.003203006,,0.465108876,0.015639365
147,0.617746404,0.006532849,,0.465807019,0.018933723
150,0.617273073,0.00275561,,0.466690458,0.020731139
